id,identifier,type_id1,type_id2,evolvesFromID,evolutionChainID,description
164,noctowl,normal,flying,163,83,Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light&#44; and to its soft&#44; supple wings that make no sound in flight.
165,ledyba,bug,flying,0,84,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.
166,ledian,bug,flying,165,84,It is said that in lands with clean air&#44; where the stars fill the sky&#44; there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.
167,spinarak,bug,poison,0,85,The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.
168,ariados,bug,poison,167,85,Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.
169,crobat,poison,flying,42,17,Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.
170,chinchou,water,electric,0,86,Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power&#44; it even makes itself tingle slightly.
171,lanturn,water,electric,170,86,Lanturn is known to emit light. If you peer down into the dark sea from a ship at night&#44; you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night.
172,pichu,electric,none,0,10,When Pichu plays with others&#44; it may short out electricity with another Pichu&#44; creating a shower of sparks. In that event&#44; this Pokémon will begin crying&#44; startled by the flash of sparks.
173,cleffa,fairy,none,0,14,On nights with many shooting stars&#44; Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day&#44; when these Pokémon quench their thirst with the morning dew.
174,igglybuff,normal,fairy,0,16,Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.
175,togepi,fairy,none,0,87,As its energy&#44; Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell&#44; then shares them with others.
176,togetic,fairy,flying,175,87,Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart&#44; it is said to appear and share its happiness with that person.
177,natu,psychic,flying,0,88,Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.
178,xatu,psychic,flying,177,88,Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.
179,mareep,electric,none,0,89,Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged&#44; the more brightly the lightbulb at the tip of its tail glows.
180,flaaffy,electric,none,179,89,Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.
181,ampharos,electric,none,180,89,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.
182,bellossom,grass,none,44,18,A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night&#44; this Pokémon closes its petals and goes to sleep.
183,marill,water,fairy,298,90,When fishing for food at the edge of a fast-running stream&#44; Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.
184,azumarill,water,fairy,183,90,Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.
185,sudowoodo,rock,none,438,91,Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However&#44; because its hands remain green throughout the year&#44; the Pokémon is easily identified as a fake during the winter.
186,politoed,water,none,61,26,The curled hair on Politoed’s head is proof of its status as a king. It is said that the longer and more curled the hair&#44; the more respect this Pokémon earns from its peers.
187,hoppip,grass,flying,0,92,This Pokémon drifts and floats with the wind. If it senses the approach of strong winds&#44; Hoppip links its leaves with other Hoppip to prepare against being blown away.
188,skiploom,grass,flying,187,92,Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason&#44; this Pokémon is sometimes used as a thermometer.
189,jumpluff,grass,flying,188,92,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.
190,aipom,normal,none,0,93,Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However&#44; because the Pokémon uses its tail so much&#44; its real hands have become rather clumsy.
191,sunkern,grass,none,0,94,Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing&#44; subsisting only on morning dew.
192,sunflora,grass,none,191,94,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.
193,yanma,bug,flying,0,95,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.
194,wooper,water,ground,0,96,Wooper usually lives in water. However&#44; it occasionally comes out onto land in search of food. On land&#44; it coats its body with a gooey&#44; toxic film.
195,quagsire,water,ground,194,96,Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move&#44; it does not get very hungry.
196,espeon,psychic,none,133,67,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.
197,umbreon,dark,none,133,67,Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.
198,murkrow,dark,flying,0,97,Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.
199,slowking,water,psychic,79,33,Slowking undertakes research every day in an effort to solve the mysteries of the world. However&#44; this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.
200,misdreavus,ghost,none,0,98,Misdreavus frightens people with a creepy&#44; sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.
201,unown,psychic,none,0,99,This Pokémon is shaped like ancient writing. It is a mystery as to which came first&#44; the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.
202,wobbuffet,psychic,none,360,100,Wobbuffet does nothing but endure attacks—it won’t attack on its own. However&#44; it won’t endure an attack on its tail. When that happens&#44; the Pokémon will try to take the foe with it using Destiny Bond.
203,girafarig,normal,psychic,0,101,Girafarig’s rear head contains a tiny brain that is too small for thinking. However&#44; the rear head doesn’t need to sleep&#44; so it can keep watch over its surroundings 24 hours a day.
204,pineco,bug,none,0,102,Pineco hangs from a tree branch and patiently waits for prey to come along. If the Pokémon is disturbed while eating by someone shaking its tree&#44; it drops down to the ground and explodes with no warning.
205,forretress,bug,steel,204,102,Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokémon is catching prey&#44; but it does so at such a quick pace that the shell’s inside cannot be seen.
206,dunsparce,normal,none,0,103,Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground.
207,gligar,ground,flying,0,104,Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs&#44; then injects the prey with its poison barb.
208,steelix,steel,ground,95,41,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.
209,snubbull,fairy,none,0,105,By baring its fangs and making a scary face&#44; Snubbull sends smaller Pokémon scurrying away in terror. However&#44; this Pokémon seems a little sad at making its foes flee.
210,granbull,fairy,none,209,105,Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy&#44; causing the Pokémon to tip its head back for balance. Unless it is startled&#44; it will not try to bite indiscriminately.
211,qwilfish,water,poison,0,106,Qwilfish sucks in water&#44; inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.
212,scizor,bug,steel,123,58,Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.
213,shuckle,bug,rock,0,107,Shuckle quietly hides itself under rocks&#44; keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.
214,heracross,bug,fighting,0,108,Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree&#44; giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.
215,sneasel,dark,ice,0,109,Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.
216,teddiursa,normal,none,0,110,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.
217,ursaring,normal,none,216,110,In the forests inhabited by Ursaring&#44; it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.
218,slugma,fire,none,0,111,Slugma does not have any blood in its body. Instead&#44; intensely hot magma circulates throughout this Pokémon’s body&#44; carrying essential nutrients and oxygen to its organs.
219,magcargo,fire,rock,218,111,Magcargo’s body temperature is approximately 18&#44;000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain&#44; the raindrops instantly turn into steam&#44; cloaking the area in a thick fog.
220,swinub,ice,ground,0,112,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.
221,piloswine,ice,ground,220,112,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.
222,corsola,water,rock,0,113,Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls&#44; this Pokémon migrates to the southern seas.
223,remoraid,water,none,0,114,Remoraid sucks in water&#44; then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near&#44; this Pokémon travels downstream from rivers.
224,octillery,water,none,223,114,Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong&#44; Octillery spews ink to escape.
225,delibird,ice,flying,0,115,Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain&#44; thanks to one of these Pokémon sharing its food.
226,mantine,water,flying,458,116,On sunny days&#44; schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides.
227,skarmory,steel,flying,0,117,Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year&#44; the battered wings grow back completely&#44; restoring the cutting edges to their pristine state.
228,houndour,dark,fire,0,118,Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.
229,houndoom,dark,fire,228,118,In a Houndoom pack&#44; the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.
230,kingdra,water,dragon,117,54,Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives&#44; the Pokémon is said to awaken and wander about in search of prey.
231,phanpy,ground,none,0,119,Phanpy uses its long nose to shower itself. When others gather around&#44; they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.
232,donphan,ground,none,231,119,If Donphan were to tackle with its hard body&#44; even a house could be destroyed. Using its massive strength&#44; the Pokémon helps clear rock and mud slides that block mountain trails.
233,porygon2,normal,none,137,68,Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own.
234,stantler,normal,none,0,120,Stantler’s magnificent antlers were traded at high prices as works of art. As a result&#44; this Pokémon was hunted close to extinction by those who were after the priceless antlers.
235,smeargle,normal,none,0,121,Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5&#44;000 different marks left by this Pokémon have been found.
236,tyrogue,fighting,none,0,47,Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon&#44; the Trainer must establish and uphold various training methods.
237,hitmontop,fighting,none,236,47,Hitmontop spins on its head at high speed&#44; all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.
238,smoochum,ice,psychic,0,59,Smoochum actively runs about&#44; but also falls quite often. Whenever the chance arrives&#44; it will look for its reflection to make sure its face hasn’t become dirty.
239,elekid,electric,none,0,60,Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity&#44; this Pokémon begins swinging its arms in circles to recharge itself.
240,magby,fire,none,0,61,Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth&#44; it is in good health. When it is fatigued&#44; black smoke will be mixed in with the flames.
241,miltank,normal,none,0,122,Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can’t drink milk turn it into yogurt and eat it instead.
242,blissey,normal,none,113,51,Blissey senses sadness with its fluffy coat of fur. If it does so&#44; this Pokémon will rush over to a sad person&#44; no matter how far away&#44; to share a Lucky Egg that brings a smile to any face.
243,raikou,electric,none,0,123,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.
244,entei,fire,none,0,124,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.
245,suicune,water,none,0,125,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.
246,larvitar,rock,ground,0,126,Larvitar is born deep under the ground. To come up to the surface&#44; this Pokémon must eat its way through the soil above. Until it does so&#44; Larvitar cannot see its parents.
247,pupitar,rock,ground,246,126,Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.
248,tyranitar,rock,dark,247,126,Tyranitar is so overwhelmingly powerful&#44; it can bring down a whole mountain to make its nest. This Pokémon wanders about in mountains seeking new opponents to fight.
249,lugia,psychic,flying,0,127,Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result&#44; this Pokémon chooses to live out of sight deep under the sea.
250,ho-oh,fire,flying,0,128,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.
251,celebi,psychic,grass,0,129,This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears&#44; a bright and shining future awaits us.
252,treecko,grass,none,0,130,Treecko is cool&#44; calm&#44; and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon&#44; it would glare right back without conceding an inch of ground.
253,grovyle,grass,none,252,130,This Pokémon adeptly flies from branch to branch in trees. In a forest&#44; no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be.
254,sceptile,grass,none,253,130,Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.
255,torchic,fire,none,0,131,Torchic has a place inside its body where it keeps its flame. Give it a hug—it will be glowing with warmth. This Pokémon is covered all over by a fluffy coat of down.
256,combusken,fire,fighting,255,131,Combusken battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This Pokémon’s cry is very loud and distracting.
257,blaziken,fire,fighting,256,131,Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.
258,mudkip,water,none,0,132,In water&#44; Mudkip breathes using the gills on its cheeks. If it is faced with a tight situation in battle&#44; this Pokémon will unleash its amazing power—it can crush rocks bigger than itself.
259,marshtomp,water,ground,258,132,Marshtomp is much faster at traveling through mud than it is at swimming. This Pokémon’s hindquarters exhibit obvious development&#44; giving it the ability to walk on just its hind legs.
260,swampert,water,ground,259,132,Swampert predicts storms by sensing subtle differences in the sounds of waves and tidal winds with its fins. If a storm is approaching&#44; it piles up boulders to protect itself.
261,poochyena,dark,none,0,133,Poochyena is an omnivore—it will eat anything. A distinguishing feature is how large its fangs are compared to its body. This Pokémon tries to intimidate its foes by making the hair on its tail bristle out.
262,mightyena,dark,none,261,133,Mightyena travel and act as a pack in the wild. The memory of its life in the wild compels the Pokémon to obey only those Trainers that it recognizes to possess superior skill.
263,zigzagoon,normal,none,0,134,The hair on Zigzagoon’s back is bristly. It rubs the hard back hair against trees to leave its territorial markings. This Pokémon may play dead to fool foes in battle.
264,linoone,normal,none,263,134,When hunting&#44; Linoone will make a beeline straight for the prey at a full run. While this Pokémon is capable of topping 60 mph&#44; it has to come to a screeching halt before it can turn.
265,wurmple,bug,none,0,135,Wurmple is targeted by Swellow as prey. This Pokémon will try to resist by pointing the spikes on its rear at the attacking predator. It will weaken the foe by leaking poison from the spikes.
266,silcoon,bug,none,265,135,Silcoon was thought to endure hunger and not consume anything before its evolution. However&#44; it is now thought that this Pokémon slakes its thirst by drinking rainwater that collects on its silk.
267,beautifly,bug,flying,266,135,Beautifly has a long mouth like a coiled needle&#44; which is very convenient for collecting pollen from flowers. This Pokémon rides the spring winds as it flits around gathering pollen.
268,cascoon,bug,none,265,135,If it is attacked&#44; Cascoon remains motionless however badly it may be hurt. It does so because if it were to move&#44; its body would be weak upon evolution. This Pokémon will also not forget the pain it endured.
269,dustox,bug,poison,268,135,When Dustox flaps its wings&#44; a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This Pokémon searches for food using its antennae like radar.
270,lotad,water,grass,0,136,Lotad is said to have dwelled on land before. However&#44; this Pokémon is thought to have returned to water because the leaf on its head grew large and heavy. It now lives by floating atop the water.
271,lombre,water,grass,270,136,Lombre’s entire body is covered by a slippery&#44; slimy film. It feels horribly unpleasant to be touched by this Pokémon’s hands. Lombre is often mistaken for a human child.
272,ludicolo,water,grass,271,136,Upon hearing an upbeat and cheerful rhythm&#44; the cells in Ludicolo’s body become very energetic and active. Even in battle&#44; this Pokémon will exhibit an amazing amount of power.
273,seedot,grass,none,0,137,Seedot looks exactly like an acorn when it is dangling from a tree branch. It startles other Pokémon by suddenly moving. This Pokémon polishes its body once a day using leaves.
274,nuzleaf,grass,dark,273,137,This Pokémon pulls out the leaf on its head and makes a flute with it. The sound of Nuzleaf’s flute strikes fear and uncertainty in the hearts of people lost in a forest.
275,shiftry,grass,dark,274,137,Shiftry’s large fans generate awesome gusts of wind at a speed close to 100 feet per second. The whipped-up wind blows anything away. This Pokémon chooses to live quietly deep in forests.
276,taillow,normal,flying,0,138,Taillow is young—it has only just left its nest. As a result&#44; it sometimes becomes lonesome and cries at night. This Pokémon feeds on Wurmple that live in forests.
277,swellow,normal,flying,276,138,Swellow is very conscientious about the upkeep of its glossy wings. Once two Swellow are gathered&#44; they diligently take care of cleaning each other’s wings.
278,wingull,water,flying,0,139,Wingull rides updrafts rising from the sea by extending its long and narrow wings to glide. This Pokémon’s long beak is useful for catching prey.
279,pelipper,water,flying,278,139,Pelipper searches for food while in flight by skimming the wave tops. This Pokémon dips its large bill in the sea to scoop up food&#44; then swallows everything in one big gulp.
280,ralts,psychic,fairy,0,140,Ralts has the ability to sense the emotions of people. If its Trainer is in a cheerful mood&#44; this Pokémon grows cheerful and joyous in the same way.
281,kirlia,psychic,fairy,280,140,Kirlia uses the horns on its head to amplify its psychokinetic power. When the Pokémon uses its power&#44; the air around it becomes distorted&#44; creating mirages of nonexistent scenery.
282,gardevoir,psychic,fairy,281,140,Gardevoir has the psychokinetic power to distort the dimensions and create a small black hole. This Pokémon will try to protect its Trainer even at the risk of its own life.
283,surskit,bug,water,0,141,If Surskit senses danger&#44; it secretes a thick&#44; sugary syrup from the tip of its head. There are some Pokémon that love eating this syrup.
284,masquerain,bug,flying,283,141,Masquerain’s antennas have eyelike patterns that usually give it an angry look. If the “eyes” are droopy and appear sad&#44; it is said to be a sign that a heavy rainfall is on its way.
285,shroomish,grass,none,0,142,If Shroomish senses danger&#44; it shakes its body and scatters spores from the top of its head. This Pokémon’s spores are so toxic&#44; they make trees and weeds wilt.
286,breloom,grass,fighting,285,142,The seeds ringing Breloom’s tail are made of hardened toxic spores. It is horrible to eat the seeds. Just taking a bite of this Pokémon’s seed will cause your stomach to rumble.
287,slakoth,normal,none,0,143,Slakoth’s heart beats just once a minute. Whatever happens&#44; it is content to loaf around motionless. It is rare to see this Pokémon in motion.
288,vigoroth,normal,none,287,143,Vigoroth is simply incapable of remaining still. Even when it tries to sleep&#44; the blood in its veins grows agitated&#44; compelling this Pokémon to run wild throughout the jungle before it can settle down.
289,slaking,normal,none,288,143,Wherever Slaking live&#44; rings of over a yard in diameter appear in grassy fields. They are made by the Pokémon as it eats all the grass within reach while lying prone on the ground.
290,nincada,bug,ground,0,144,Nincada lives underground. It uses its sharp claws to carve the roots of trees and absorb moisture and nutrients. This Pokémon can’t withstand bright sunlight so avoids it.
291,ninjask,bug,flying,290,144,If Ninjask is not trained properly&#44; it will refuse to obey the Trainer and cry loudly continuously. Because of this quality&#44; this Pokémon is said to be one that puts the Trainer’s abilities to the test.
292,shedinja,bug,ghost,290,144,Shedinja is a peculiar Pokémon. It seems to appear unsought in a Poké Ball after a Nincada evolves. This bizarre Pokémon is entirely immobile—it doesn’t even breathe.
293,whismur,normal,none,0,145,Whismur is very timid. If it starts to cry loudly&#44; it becomes startled by its own crying and cries even harder. When it finally stops crying&#44; the Pokémon goes to sleep&#44; all tired out.
294,loudred,normal,none,293,145,Loudred shouts while stamping its feet. After it finishes shouting&#44; this Pokémon becomes incapable of hearing anything for a while. This is considered to be a weak point.
295,exploud,normal,none,294,145,Exploud communicates its feelings to the others by emitting whistle-like sounds from the tubes on its body. This Pokémon only raises its voice when it is in battle.
296,makuhita,fighting,none,0,146,Makuhita has a tireless spirit—it will never give up hope. It eats a lot of food&#44; gets plenty of sleep&#44; and it trains very rigorously. By living that way&#44; this Pokémon packs its body with energy.
297,hariyama,fighting,none,296,146,Hariyama’s thick body may appear fat&#44; but it is actually a hunk of solid muscle. If this Pokémon bears down and tightens all its muscles&#44; its body becomes as hard as a rock.
298,azurill,normal,fairy,0,90,Azurill’s tail is large and bouncy. It is packed full of the nutrients this Pokémon needs to grow. Azurill can be seen bouncing and playing on its big&#44; rubbery tail.
299,nosepass,rock,none,0,147,Nosepass had been said to be completely unmoving&#44; with its magnetic nose pointed due north. However&#44; close observation has revealed that the Pokémon actually moves by a little over 3/8 of an inch every year.
300,skitty,normal,none,0,148,Skitty is known to chase around playfully after its own tail. In the wild&#44; this Pokémon lives in holes in the trees of forests. It is very popular as a pet because of its adorable looks.
301,delcatty,normal,none,300,148,Delcatty sleeps anywhere it wants without keeping a permanent nest. If other Pokémon approach it as it sleeps&#44; this Pokémon will never fight—it will just move away somewhere else.
302,sableye,dark,ghost,0,149,Sableye digs the ground with sharpened claws to find rocks that it eats. Substances in the eaten rocks crystallize and rise up to the Pokémon’s body surface.
303,mawile,steel,fairy,0,150,Don’t be taken in by this Pokémon’s cute face—it’s very dangerous. Mawile fools the foe into letting down its guard&#44; then chomps down with its massive jaws. The steel jaws are really horns that have been transformed.
304,aron,steel,rock,0,151,Aron has a body of steel. With one all-out charge&#44; this Pokémon can demolish even a heavy dump truck. The destroyed dump truck then becomes a handy meal for the Pokémon.
305,lairon,steel,rock,304,151,Lairon feeds on iron contained in rocks and water. It makes its nest on mountains where iron ore is buried. As a result&#44; the Pokémon often clashes with humans mining the iron ore.
306,aggron,steel,rock,305,151,Aggron is protective of its environment. If its mountain is ravaged by a landslide or a fire&#44; this Pokémon will haul topsoil to the area&#44; plant trees&#44; and beautifully restore its own territory.
307,meditite,fighting,psychic,0,152,Meditite heightens its inner energy through meditation. It survives on just one berry a day. Minimal eating is another aspect of this Pokémon’s training.
308,medicham,fighting,psychic,307,152,Through the power of meditation&#44; Medicham developed its sixth sense. It gained the ability to use psychokinetic powers. This Pokémon is known to meditate for a whole month without eating.
309,electrike,electric,none,0,153,Electrike runs faster than the human eye can follow. The friction from running is converted into electricity&#44; which is then stored in this Pokémon’s fur.
310,manectric,electric,none,309,153,Manectric discharges strong electricity from its mane. The mane is used for collecting electricity in the atmosphere. This Pokémon creates thunderclouds above its head.
311,plusle,electric,none,0,154,When Plusle is cheering on its partner&#44; it flashes with electric sparks from all over its body. If its partner loses&#44; this Pokémon cries loudly.
312,minun,electric,none,0,155,Minun loves to cheer on its partner in battle. It gives off sparks from its body while it is doing so. If its partner is in trouble&#44; this Pokémon gives off increasing amounts of sparks.
313,volbeat,bug,none,0,156,Volbeat’s tail glows like a lightbulb. With other Volbeat&#44; it uses its tail to draw geometric shapes in the night sky. This Pokémon loves the sweet aroma given off by Illumise.
314,illumise,bug,none,0,157,Illumise leads a flight of illuminated Volbeat to draw signs in the night sky. This Pokémon is said to earn greater respect from its peers by composing more complex designs in the sky.
315,roselia,grass,poison,406,158,On extremely rare occasions&#44; a Roselia is said to appear with its flowers in unusual colors. The thorns on this Pokémon’s head contain a vicious poison.
316,gulpin,poison,none,0,159,Most of Gulpin’s body is made up of its stomach—its heart and brain are very small in comparison. This Pokémon’s stomach contains special enzymes that dissolve anything.
317,swalot,poison,none,316,159,Swalot has no teeth&#44; so what it eats&#44; it swallows whole&#44; no matter what. Its cavernous mouth yawns widely. An automobile tire could easily fit inside this Pokémon’s mouth.
318,carvanha,water,dark,0,160,If anything invades Carvanha’s territory&#44; it will swarm and tear at the intruder with its pointed fangs. On its own&#44; however&#44; this Pokémon turns suddenly timid.
319,sharpedo,water,dark,318,160,Sharpedo can swim at speeds of up to 75 mph by jetting seawater out of its backside. This Pokémon’s drawback is its inability to swim long distances.
320,wailmer,water,none,0,161,Wailmer can store water inside its body to transform itself into a ball for bouncing around on the ground. By filling itself up with more water&#44; this Pokémon can elevate the height of its bounces.
321,wailord,water,none,320,161,When chasing prey&#44; Wailord herds them by leaping out of the water and making a humongous splash. It is breathtaking to see this Pokémon leaping out of the sea with others in its pod.
322,numel,fire,ground,0,162,Numel stores magma of almost 2&#44;200 degrees Fahrenheit within its body. If it gets wet&#44; the magma cools and hardens. In that event&#44; the Pokémon’s body grows heavy and its movements become sluggish.
323,camerupt,fire,ground,322,162,The humps on Camerupt’s back are formed by a transformation of its bones. They sometimes blast out molten magma. This Pokémon apparently erupts often when it is enraged.
324,torkoal,fire,none,0,163,Torkoal generates energy by burning coal. It grows weaker as the fire dies down. When it is preparing for battle&#44; this Pokémon burns more coal.
325,spoink,psychic,none,0,164,Spoink keeps a pearl on top of its head. The pearl functions to amplify this Pokémon’s psychokinetic powers. It is therefore on a constant search for a bigger pearl.
326,grumpig,psychic,none,325,164,Grumpig uses the black pearls on its body to wield its fantastic powers. When it is doing so&#44; it dances bizarrely. This Pokémon’s black pearls are valuable as works of art.
327,spinda,normal,none,0,165,No two Spinda are said to have identical spot patterns on their hides. This Pokémon moves in a curious manner as if it is stumbling in dizziness. Its lurching movements can cause the opponent to become confused.
328,trapinch,ground,none,0,166,Trapinch is a patient hunter. It digs an inescapable pit in a desert and waits for its prey to come tumbling down. This Pokémon can go a whole week without access to any water.
329,vibrava,ground,dragon,328,166,Vibrava’s wings have not yet completed the process of growing. Rather than flying long distances&#44; they are more useful for generating ultrasonic waves by vibrating.
330,flygon,ground,dragon,329,166,Flygon whips up a sandstorm by flapping its wings. The wings create a series of notes that sound like singing. Because the “singing” is the only thing that can be heard in a sandstorm&#44; this Pokémon is said to be the desert spirit.
331,cacnea,grass,none,0,167,The more arid and harsh the environment&#44; the more pretty and fragrant a flower Cacnea grows. This Pokémon battles by wildly swinging its thorny arms.
332,cacturne,grass,dark,331,167,If a traveler is going through a desert in the thick of night&#44; Cacturne will follow in a ragtag group. The Pokémon are biding their time&#44; waiting for the traveler to tire and become incapable of moving.
333,swablu,normal,flying,0,168,Swablu loves to make things clean. If it spots something dirty&#44; it will wipe and polish it with its cottony wings. If its wings become dirty&#44; this Pokémon finds a stream and showers itself.
